Review,Classification,Disgust,Disappointment,Sadness,Confusion,Anger,Fear,Indifference,Surprise,Interest,Happiness,Touched,Motivation,Reflective
"Harold Pinter rewrites Anthony Schaeffer's classic play about a man going to visit the husband of his lover and having it all go sideways. The original film starred Laurence Olivier and Michael Caine. Caine has the Olivier role in this version and he's paired with Jude Law. Here the film is directed by Kenneth Branaugh.<br /><br />The acting is spectacular. Both Caine and Law are gangbusters in their respective roles. I really like the chemistry and the clashing of personalities. It's wonderful and enough of a reason to watch when the script's direction goes haywire.<br /><br />Harold Pinter's dialog is crisp and sharp and often very witty and I understand why he was chosen to rewrite the play (which is updated to make use of surveillance cameras and the like).The problem is that how the script moves the characters around is awful. Michale Caine walks Law through his odd modern house with sliding doors and panels for no really good reason. Conversations happen repeatedly in different locations. I know Pinter has done that in his plays, but in this case it becomes tedious. Why do we need to have the pair go over and over and over the fact that Law is sleeping with Caine's wife? It would be okay if at some point Law said enough we've done this, but he doesn't he acts as if each time is the first time. The script also doesn't move Caine through his manipulation of Law all that well. To begin with he's blindly angry to start so he has no chance to turn around and scare us.(Never mind a late in the game revelation that makes you wonder why he bothered) In the original we never suspected what was up. here we do and while it gives an edge it also somehow feels false since its so clear we are forced to wonder why Law's Milo doesn't see he's being set up. There are a few other instances but to say more would give away too much.<br /><br />Thinking about the film in retrospect I think its a film of missed opportunities and missteps. The opportunities squandered are the chance to have better fireworks between Caine and Law. Missteps in that the choice of a garish setting and odd shifts in plot take away from the creation of a tension and a believable thriller. Instead we get some smart dialog and great performances in a film that doesn't let them be real.<br /><br />despite some great performances and witty dialog this is only a 4 out of 10 because the rest of the script just doesn't work",negative,0,1,0,1,0,0,0,0,0,0,0,0,1
"If your a fan of Airplane type movies this is a must see! Set in the 1920's and 30's Johnny Dangerously has not only great actors but great lines. ""knock down dat wall,knock down dat wall and knock down dat #@$%#@$ wall."" ""You shouldn't hang me on a hook johnny"" or ""Sounds like Johnnys getting laid"". Its definitely a spoof of the old James Cagney Movies and references them a lot. There's a great scene when Jhonnys walking down death row and has a priest set up for his escape. Listen closely to the fake priests readings, its pretty funny. Another great scene is when Dom Delauise plays the Pope. Watch his reaction to Johnny after he tips the Pope, a lot said without making a sound.I recommend this movie to all who love to laugh or are old movie buffs.",positive,0,0,0,0,0,0,0,1,1,1,0,0,0
"Pretty poor Firestarter clone that seems more like a bad TV movie than a bad feature film. How disappointing for this to come from Hooper and Dourif!<br /><br />Government contractors do a human experiment with a Hydrogen bomb. The boy born to the couple from the experiment constantly runs a fever of 100 degrees, and when he's an adult, people in his life start spontaneously combusting. He tries to find out why.<br /><br />The people completely on fire are well done, but when they get to the point that they are well done in another sense, they're obviously changed to dummies. When jets of fire shoot out of characters' arms, it looks silly rather than alarming the way it should. Also ridiculous is fire that evidently travels through phone lines and erupts in huge jets from the receiver's earpiece. How is that supposed to happen, exactly?<br /><br />Something else that struck me as silly about the movie is when a character has visions of his late parents. We later see the exact same shots from those visions in home movies.",negative,1,1,0,1,0,0,0,0,0,0,0,0,0
"***spoilers***spoilers***spoilers***spoilers<br /><br />There are bad movies and then there are movies which are so awful that they become affectionately comical in their ineptness. Such is the case with Columbia Pictures' 'The Grudge.' This cinematic atrocity began when an otherwise well intentioned American saw a Japanese made for TV film 'Ju-on' and was inspired to remake the movie in English. This began a virtual tsunami of bad decisions which circumnavigated the globe until it washed ashore in Orlando on October 21, 2004.<br /><br />The premise, and I use the word loosely, involves a house in Tokyo haunted by a skinny Momma ghost who looks like a cross between Margaret Cho and Alanis Morrisette, along with her ghastly sidekick a chubby, rambunctious but evil second grader. Is there anything scarier than a creepy 8 year old Japanese boy? Sure there is! Count Chocula comes to mind. With this whimsical bunch we must add a mysterious black cat who I have affectionately named Chim Chim. (Remember Speed Racer?) As you have already guessed, they were murdered in this domicile of doom and now desire to kill everyone who enters the premises. You see, as explained by a Japanese detective, when someone dies in a rage their ghost seeks revenge on everyone who steps on the property lines as defined by the county commissioner or something like that, I forget. <br /><br />The story begins innocently enough with acclaimed thespian Bill Pullman leaping to his death from a balcony. My guess is Bill Pullman got this job because of his kids begged him for a trip to Tokyo Disneyland. Next we endure the mildly interesting saga of Nurse Yoko, 'oh no don't go in there' screams the audience, but alas she heeds not the dire warnings and is predictably snuffed out like a magic lantern. About 30 minutes into the movie we finally see its American heroine Sarah Michelle Gellar as Karen. Sarah Michelle Gellar might be a competent actress but I could not help thinking of Buffy the Vampire Slayer, so much so that it was distracting. It is the equivalent to having Jennifer Anniston star in a movie about the adventures of six friends in New York. Try as you may, you just can't stop thinking about the other project which made her famous. But I digress, Karen, the nurse is hired as a replacement for the original care giver who disappeared at spooks r us. <br /><br />She snoops around, meets the ghosts, coma lady dies, and some other stuff happens. Watching the fair haired vixen searching for clues I half expected her to find the ghost and pull its mask off to reveal it was actually old man Gower who owned the abandoned amusement park! 'I would've gotten away with it too if it weren't for you meddling kids and that dog of yours!' <br /><br />Director Takashi Shimizu, who is vying to be the Ed Wood of Asia, made two unfortunate decisions involving sound. First, he choose to use a soundtrack only when someone is about to be killed. This is an excellent devise for obliterating any suspense because the audience gets a two minute warning to prepare for another miserably predictable murder. Second, he gave the ghosts a bizarre guttural noise that sounds like a gargling gopher. After the movie, I heard several people exiting the theatre making the sound and laughing.<br /><br />Sarah Michelle Gellar ends up being the sole survivor. And of course we learn that the fire she set to burn down the house was extinguished in time for the obligatory next chapter. However, considering the humorous reactions of the audience, they did not want a sequel but an apology. 'The Grudge' could be easily re-edited into a comedy, perhaps then it will be appreciated for its camp value. Baring that, this will go down as the greatest cinematic thriller since 'Godzilla vs. Megalon.' I would suggest waiting until the movie comes to your local discount theatre where it can receive the public ridicule it so richly deserves.",negative,1,1,0,0,1,0,0,0,0,0,0,0,0
"Working with one of the best Shakespeare sources, this film manages to be creditable to it's source, whilst still appealing to a wider audience.<br /><br />Branagh steals the film from under Fishburne's nose, and there's a talented cast on good form.",negative,0,0,0,0,0,0,0,0,1,1,0,0,0
"Final Score...who cares - it's a reality show. It has no love for it's audience, it panders to lazy TV viewers, puts nothing in and gets nothing out.<br /><br />""Joe Millionaire"", the most blatantly phony reality show of them all, is a television disaster of epic proportions. It's a watershed, rock bottom moment, not only for Fox, but for the American viewing public who actually watch, like and talked about this crap the next day. You people ought to be ashamed of yourselves. Because as much as Fox promotes this junk it won't make any money unless it's watch by people (and boy was it, the finale got nearly Super Bowl numbers!?). It doesn't bother you people that there are many quality shows written, directed, acted and generally have effort put into them that are being cancelled while you sit back and lap up this effortless, cold game show?<br /><br />I used to be a staunch supporter of Fox. It's those of us like me who like and seek out quality TV that helped build Fox back in the days of Married...with Children and The Simpsons. Conveniently enough, now neither of those shows would make it 6 weeks with the current management. The Gail Berman ""reign of terror"" as it's often called. The network has waged war on scripted TV AND, strangely enough, it's fans. The very people who helped build them in the beginning. Now, not only do we have to fight for good shows, but we have to fight against their own network. It boggles the mind. Nothing Fox, has done in the past 3 years makes any sense. From canceling hits like ""Titus"", ""Futurama"" and ""John Doe"" (NBC can renew ""Boomtown"", but Fox can't lift it's pitiful head to give the only decent show they had this season another shot?). And the reason they can do all this: the success of junk like ""Joe Millionaire"". They can now say ""We don't need you TV fans, we have reality shows"". They apparently seem to have no idea that the big audience the draw with this junk is fickle and WILL abandon them the second the next fad comes along. To alienate their base like this will eventually kill the network the way it has set back ABC.<br /><br />The show itself is a joke. Here we have a premise, in the now classic Fox gimmick, that promises us something different and edgy, but then delivers something not in any way different from ""The Bachelor"" or anything on the big 3. Fox has gone mainstream. The finale and ""twist"" (quote/unquote) showed they have no ideas up their sleeve. Now we know that all these shows, no matter how different they look, will all end up the same cornball, fairy tale ending. We got to see a bunch of lame aspiring actors that the network picked out of millions of head-shots to fit their demographics parade around like high school bimbos pretending they liked this Evan Marriott because...well because it was a competition and that's what you're supposed to do. Marriott himself is like a hideously disfigured Chro-magnum man who struggles to put together the simplest sentences. But, how can the women (all average to ugly looking by the way - an important minus is a guilty pleasure show like this) not fall for ""Joe"" with such charming lines like ""Look, you're not stupid"".<br /><br />I used to think that people who watched these reality/dating/game shows were just to lazy to change the channel, but after ""Joe Millionaire"" I think they must be genuinely mentally deficient. Come on people, have a little more pride in yourselves. Demand a little bit more from your entertainment then THIS.<br /><br />Boycott FOX.",negative,1,0,0,0,1,0,0,0,0,0,0,0,1
"I was expecting a movie similar to Deuce Bigalow, which I enjoyed. However, this dud seemed to last forever. It's one of those flicks which enjoys the sad placement of PG-13 while not being kid appropriate. The jokes aren't just low-brow or f**t jokes, they're crude, lewd, and many acts cross the boundaries to not only bad taste but beyond legal and moral decency. Many scenes appear to have been chopped to get the PG-13 rating...too bad...it might have made a bigger splash as an R-rated film if the funny was left in. (Overstatement? Probably.) I do not recommend this movie. It is a full-on waste of time...and I'm a movie lover and ready to give just about anything a shot. At 45 minutes in, the movie felt like it should be winding down...and boy were we ready for it to. The ending is quaint but doesn't salvage the rest of this quagmire/tourist trap of a rental. 1/2 star (glad I saw it as a freebie...would have been sickened to pay hard-earned greenbacks for this tripe)",negative,1,1,0,0,1,0,0,0,0,0,0,0,0
"Woman with wig, who ""dyes"" her hair in the middle of the film (=takes of wig) presumably does not see what the audience can see from miles away:<br /><br />*** begin spoiler alert *** that her hubby is having an affair with her best girlfriend and they both try get rid of her. *** end of spoiler alert ***<br /><br />And what a spoiler that was: the title already gives it away, doesn't it? Bad acting, bad script: waste of time Oh yeah: in the end, she lives happily ever after....<br /><br />If you liked this movie, you'll really love ""Cannibal women in the Avocado Jungle of Death""....",negative,1,1,0,0,0,0,0,0,0,0,0,0,0
"With a cast of stalwart British character actors and pleasing photography of 1950s Britain, I had hoped and expected to be more entertained by this film. Unfortunately I found myself glued to it for the wrong reasons - I couldn't quite believe how awful it was. I must have watched thousands of old films and am always ready to make allowances for them being products of their time, but this was really hard going.<br /><br />As others have noted, a major problem is that it doesn't seem to know what it wants to be: a gentle romantic comedy, a slapstick comedy or a musical. I was a bit gobsmacked when Jeannie Carson suddenly broke into song about 15 minutes in! It's not believable on any level, either the storyline itself or the fact that Daisy never appears to have an ounce of menace in her at any time. Other aspects which defied credibility included the casting of suave Donald Sinden as a songwriter (a songwriter for God's sake!), the fact he has Diana Dors for a fianc茅e and doesn't appear to have the slightest interest in her (I mean, Diana Dors! Come on!) and a ludicrous scene in a song publisher's office. The whole thing's silly in the worst possible way.<br /><br />If I had to pick a favourite scene it would be the one at the very beginning with that wonderful actor Wilfred Lawson - after that everything went downhill in a big way.",negative,1,1,0,1,0,0,0,0,0,0,0,0,0
"The movie was totally Awesome and Cool. The graphics was superb and it was amazing, Especially, Flik was superb and awesome in the movie and he was funny and he was and sometimes he was intelligent. The circus bugs are colorful and they are superb in the movie. The grasshoppers were also superb and cool in the movie. Hopper was a pure and perfect villain. Even, Dot was cute. When, the bird comes to eat the bugs, that scene was superb and good. Even, the last scene was awesome and cool. Even, Flik's inventions was good. Building an artificial bird was a good idea to scare away the grasshoppers. When, the ants are building the artificial bird, that scene was good and nice I should really appreciate the creators of ""A Bug's Life"".",positive,0,0,0,0,0,0,0,1,1,1,0,0,0
"I watched 'Envy' two nights ago, on DVD, at a friends house. The premise of this film is quite promising, Jack Black and Ben Stiller in a comedy with a lot of potential, but it completely fails to deliver. I watched it with about five friends and no-one laughed for the entire film. The jokes (which are few and far between) are NOT funny in any way... the story line is crap, and they never answer the question... WHERE DOES THE SH*T GO? Of course the answer to that is NO ONE CARES. This film lacks any sort of comedy value, and as a few other users have said the only thing that makes it even almost worth watching is Christopher Walken as the J-man. None of the characters are developed, the plots so thin it's nearly transparent - and is that song throughout the film supposed to be funny??",negative,0,1,0,0,1,0,0,0,0,0,0,0,0
"Distortion is a movie that sort of caught me by surprise.. A sort of multi layered drama that focuses on a man writing a play about his life experiences that are happening to him right at this moment. To be more concise, he feels that his wife is cheating on him, so he hires a private eye to snoop on him. His wife has no idea that this is happening. Meanwhile, the actors in this play are also having a few whoopdedoodles up their sleeves by fooling around with each other and with, shall we say, unscrupulous people in the world of Israel. The whole thing culminates in a theater with all the actors present and the predictable (but not really) happens.<br /><br />The director of the piece really keeps things moving along with the ensemble cast of characters, and edits in a way that makes you pay attention, This is a fun film actually, one which I didn't mind viewing and would recommend people check out.",positive,0,0,0,0,0,0,0,1,1,1,0,0,0
"I found this film to funny from the start. John Waters use of characters reminded of some of the down to earth characters from Fellini films. Christina Ricci has once again expanded her abilities in this film. If you are looking for a fun movie without preaching, I recommend this film.",positive,0,0,0,0,0,0,0,0,1,1,0,0,0
"I only saw this movie once, and that was enough for me. The movie has very little if any plot and seems to be nothing but continuous scenes of psycho-sadistic violence and very little of anything else. I wanted to see this movie because it starred Zoe Trilling of the second ""Night of The Demons;"" and I wanted to see her playing someone normal. Unfortunately, the Tobe Hooper script barely begins and goes nowhere as Robert Englund dominates the film and chews up the scenery and plot. Zoe, I know where you are now; hiding from this film !",negative,1,1,0,0,0,0,0,0,0,0,0,0,0
"Plot: an amorous couple decide to engage in some extra-marital hijinks in a flashy car. They then become stuck (literally) in a Compromising Position, while said car wanders aimlessly about the countryside until the hapless couple are rescued by the authorities.<br /><br />That's it. That's the entire movie. There may have been some dialogue here and there, but nothing comes to mind. It should be obvious by now that this movie is not just pointless, but actually physically painful to watch. The fact that it starred two of the UKs best up-and-coming actors (one of whom is now sadly deceased) only adds to the horror.<br /><br />Ian Charleson was outstanding in the very much deserved Oscar-winning 'Chariots of Fire'. Let's remember him for that role, and try hard to pretend that this particular celluloidal abomination never happened.",negative,1,0,0,1,0,0,0,0,0,0,0,0,0
"Frailty--8/10--It's non-sensical title and ""Bill Paxton Directs"" headline aside, this is a pretty good old fashioned rip snorting biblical horror thriller. In the end, it may end up only being the inbred Southern Gothic cousin of Kubrick's ""The Shining""---but hey, that's a pretty damn entertaining notion. It's also got a doozy of a plot twist...and a very ambiguous moral message. This is the kind of movie that years from now people will catch late at night on basic cable and scare the beejesus out of themselves watching it. Too bad director Bill Paxton had to go hire himself to star...oh well....still a devil of a good rent.",positive,0,0,0,0,0,1,0,1,1,0,0,0,0
"I like to keep my reviews short and simple, but this pretty much sums it up. You can not beat the original two for a number of reasons one of which including the directing talent of Chris Columbous.<br /><br />This movie had terrible directing covered up by even more terrible acting. I cant even believe these people are considered actors.<br /><br />Painful to sit through and watch. The storyline was a complete joke about a secret chip and Russian terrorists on a painstaking quest to get it back. Horrible, rent one of the original tow and enjoy yourself! <br /><br />The movie wasn't even set during Christmas like the original. Home Alone was turned from an excellent Christmas time family comedy movie to a joke with no moral or plot!",negative,1,1,0,0,1,0,0,0,0,0,0,0,0
"This is another one of those 'humans vs insects/eco-horror' features; a theme that was popular in the late 70's. Only you can't really call it horror. There's zero suspense and no gruesome events. In other words: this movie is pretty lame. It's not that it's really bad or something; it's just very boring. A construction site near a hotel uncovers a big nest of ants. Later on we learn that, probably due to different sorts of pesticides used in the past, their bite became poisonous. Some people get bitten and rushed to the hospital and it takes ages for the residents of the hospital to figure out what's going on. Robert Foxworth figures it out first and then you can see him go berserk with a digging machine for what seems like several hours. Then they flee in the house, waiting to get rescued. And, man, you should see all the efforts they make for rescuing them. I won't spoil too much, but at one point they even use a big helicopter. All the time when I was watching this, I sat there thinking ""Come on, people, you all got shoes on. Just run out of the building. I'm sure a bunch of ants won't catch up with you."" It's all pretty ridiculous.<br /><br />Of course, lots of close-ups of crawling ants are shown throughout the whole movie. Ants in the garden. Ants in the garbage. Ants in the kitchen. Ants on the roof. Ants in the bedroom. Ants in the sink. And the best part: Ants crawling on people's faces while the actors are breathing through straws. But when you see groups of ants in wider shots, they indeed look like black rice the set designers glued to the wall.<br /><br />One small surprise came near the end. No, it has nothing to do with a twist in the plot. It was just that Brian Dennehy made an appearance as a chief-fireman. Ehrr... What more can I say? This movie is called IT HAPPENED AT LAKEWOOD MANOR but the box-art of my copy read ANTS and the title during the opening credits was PANIC AT LAKEWOOD MANOR. There you have it. Now, since this is a made-for-TV movie from the 70's, I'll be once again extremely mild in my final rating. Now, THE SAVAGE BEES, another 'humans vs insects' TV-movie from 1976 was much better than this one. I even feel I have to go back and add a few points to its rating after having seen ANTS. Lacking suspense, action, thrills, shocks and creepiness, the only thing you'll be left with after seeing ANTS is an annoying itch.",negative,0,1,0,0,0,0,1,0,0,0,0,0,0
"I caught this movie on IFC and I enjoyed it, although I felt like the editing job was a little rough, though it may have been deliberate. I had a little bit of a hard time figuring out what was going on at first because they seemed to be going for a little bit of a Pulp Fiction-style non-linear plot presentation. It seemed a little forced, though. I certainly think that the movie is worth watching, but I think it could have used a little cleaning up. Some scenes just don't seem to make sense after others. <br /><br />I'm surprised to see the rating here as low as it is. It's not outstanding, but it doesn't have any really serious problems. I gave it a 7/10. The movie did show at least that Laurence Fishburne can act when he wants to. They must have just told him not to in the Matrix movies.",positive,0,0,0,1,0,0,0,0,1,0,0,0,0
"WHITE FIRE was recommended to me by a guy who owns it on two separate DVD releases and on VHS. He claimed it's one of the funniest and coolest low budget actioners ever made. I generally don't watch movies knowing that they're going to be bad, but I made an exception for this one... and I was very glad that I did.<br /><br />It's filled to the brim with action (much of it surprisingly, graphically gory), sleaze (isolated to nudity with a key female character, but there's so much of it in one scene that it becomes hilarious) and outrageously awkward dialogue, all of which adds to the laughter-inducing tone of the film.<br /><br />Ginty, the unusual looking star of THE EXTERMINATOR (and countless other low budget action turds) is amusing in the lead, giving the best performance he could muster. Williamson is better than usual, clearly hamming it up with unparalleled glee (and he doesn't come in until midway through). The rest of the cast is also fun to watch, particularly the villains, one of whom is a sadistic sexpot who speaks with an accent that appears to be a mish-mash of Spanish and Italian. She's priceless.<br /><br />Again, I can't stress enough how gory it was. It's not so bloody that it's nauseating, but it's uncommonly violent in parts with some meaty squibs going off in the shootouts and it has a grueling torture sequence that no man will soon forget. Also, when Ginty is being swarmed by a pack of bad guys, he conveniently gets a hold of a chainsaw and the splatter moments that follow will have any and all action fans cheering and spilling their beers.<br /><br />Don't miss WHITE FIRE. It's a rollicking - if mind-numbingly stupid - action classic.",positive,0,0,0,0,0,0,0,1,0,1,0,0,0
"The producers of this film offer to pay funeral expenses for anyone who dies of fright while watching this movie. They should have offered intensive psychotherapy for anyone who really enjoyed this stinker. A young couple moves into a house, where a woman who looks like the woman from the couple lived. Extremely boring, and very predictable. In the end I ended up not caring about anyone in this movie.<br /><br />Avoid this one at all costs.",negative,0,1,0,0,0,1,0,0,0,0,0,0,0
"I've just finished viewing the 1st disc in a 4-disc (26 episodes) collection created in conjunction with the UCLA Film & Television Archive (S'More Entertainment, Inc.). So far (aside from the 1st episode), the image quality is quite good. The DVD box is shown on the title page here on IMDb.<br /><br />""Mr. Peepers"" is just as charming as when I first saw it (5-years old at the time) and Wally Cox is truly endearing in this role. If you're in the mood for quiet comedy that sneaks up on you, as opposed to hitting you over the head, you'll treasure this chance to experience all the wonderful characters you might remember from your childhood. Although some of the gags are a bit corny, most are ingenious and well-executed...and even the corny ones are fun. This is one TV series that lives up to my early childhood memories of it.",positive,0,0,0,0,0,0,0,0,0,1,0,0,1
"Images are great and reflect well the landscapes of Canada. The story was, on the other side, quite boring; To my eyes it was a love story in the woods just like Titanic was a love story on a boat. I did not feel that Grey Owl was great environmentalist. I usually like Lord Attenborough but this one was ... bad.",negative,0,1,0,0,0,0,0,0,0,0,0,0,0
