Review,Disgust,Disappointment,Sadness,Confusion,Anger,Fear,Indifference,Surprise,Interest,Happiness,Reflective
"Contrary to some people's summaries, the women depicted in the film are not geisha. They are oiran (prostitutes) living outside the most famous pleasure districts, and their lives and experiences represent the lives of a great number of Tokugawa era women. I can't say the stories were particularly enlightening, but their charm lies in just how typical they are. The themes are universal and everyday: love, friendship, and sacrifice.<br /><br />I did greatly enjoy the art direction and the acting. I felt like I was getting a glimpse of a time and place I can never otherwise glimpse. The actors, especially the 4 women who played the main oiran, were a thrill to watch. I'd only recommend this movie to people who want a taste of Japanese culture, or to those who enjoy quiet and emotional stories. It's a great example of both.",0,0,0,0,0,0,0,0,1,1,1
"With Goldie Hawn and Peter Sellers in a movie you figure this one won't go wrong. But what can I say? This was a horrible misfire. The movie is about Peter Sellers as an older gentleman who suddenly finds himself in a relationship with a really strange young not to mention attractive hippie in Goldie Hawn. The movie is incredibly disjointed and I did not understand anything about it. Peter Sellers and Goldie Hawn are very funny people but this movie does not prove it.<br /><br />That song about __rabella Cinderella' is pretty cool, but that is it. I only recommend this movie to people that like to watch an extreme novelty movie, this is almost the definition of one. I guess this movie more than anything else is a sign of the times, in terms of it's definite experimentalism and all around unconventionality, the problem is the quality is completely shot and the writing, not to mention the direction is just so out there. <br /><br />Peter Sellers in particular is very hit and miss, he will go from Dr. Strangelove and Being There throughout his career, to dumb movies like this and the Magic Christian, which was very similar to this one in context and style, but that movie did have a few funny moments. This one is senseless, and I am sad that someone as great as Peter Sellers was in this movie. Not recommended for anyone.",0,1,0,1,0,0,1,0,0,0,0
"This movie got extremely silly when things started to happen. I couldn't care less about any of the characters; Susan Walters was so annoying, and the leading actor (forget his name) also got on my nerves. Can't quite remember how it ended and so forth but the whole idea of aliens possessing human bodies and all just seemed stupid in this film, things didn't quite carry off. My dad told me it's s stupid movie...I should've listened to him.",0,1,0,0,1,0,1,0,0,0,0
"This must be one of the worst movies I have ever seen. I was actually expecting a bad movie but I was caught by surprise believe it or not. The storyline is the traditional, all clich__s are included.<br /><br />The dialogue is so poorly written that you actually laugh when the otherwise half-descent actors are trying to make it sound real. The photo is not too good, the music is so malplac__ it actually made me angry, the actors are not even trying, altho the script makes it almost impossible you could expect more from people that have been acting for 30 years and the so called action scenes actually manage to lack the ""action"" itself.<br /><br />I dont understand why these types of bad movies keep on coming, who is financing this shit? Where is the screening ? And why on earth do actors take on this mission impossible script?<br /><br />There are a million hollywood-movies in this genre without even aspiration of reaching the theaters, but even them Straight To Video things actually manages to look professional in comparison.<br /><br />I can not say anything positive about this except the title which explains it all, I feel robbed of 2 hours of my life.",0,1,0,1,1,0,0,0,0,0,0
"This film moves the Cinderella story forward to the early 1950s and makes good, if eccentric, use of the Isle of Man as a background. The Ugly Sisters have become wildly glamorous upper-class English girls, and together with Kathleen Turner as the stepmother they flounce about in various wonderful period costumes. The story is altered a little from the traditional version: early on it is oddly combined with the plot of ""King Lear"", and in later stages Cinderella is rather more assertive than is usual. It looks splendid and works on the whole pretty well, but does go over the top at times.",0,0,0,0,0,0,0,1,1,1,0
"With a special telescope, Dr. Janos Rukh (Boris Karloff) successfully proves that years ago a meteorite landed in Africa containing an unknown, but extremely powerful element. Dr. Benet(Bela Lugosi) form an expedition led by Rukh to locate the element. Unexpectedly, Rukh discovers ""Radium X,"", even more powerful than radium and very radioactive and Karloff becomes contaminated and can kill anyone by just touching them. The sparks really fly between Lugosi and Karloff in this classic science-fiction film during the post-World War II era. Director Hillyer used a few standing sets from ""FLASH GORDON"" series which was being filmed at the same time and also inserted some footage of electrical machines from Frankenstein. Universal kept the public unaware of the special effects being used in this great classic film. Karloff and Lugosi were at their very best and they both enjoyed working together and will be enjoyed by future generations.",0,0,0,0,0,1,0,1,1,0,0
"This had to be one of the worst films ever. When Kate shows up and Jed is with a bunch of guys and they all start clapping...so Hollywood. Another bad scene was when Kate was running her hands over the pavement it appeared that she was examining the texture of the pavement. Andie's acting is so bad in this film - I could not connect with them or feel there love for each other. The other 2 women however were very good and overshadowed Andie. Anyway this was such a campy movie. I usually like these type of films but I just couldn't get into this film. Too many unlikely situations and again Andie's acting didn't help the film. Also, she is all gums. Lancome must put her makeup on with a putty knife because she looks glamorous in the commericals.",0,1,0,0,1,0,1,0,0,0,0
"The way this story played out and the interaction between the 2 lead characters may lead me to believe that if the X-Files continues without Mulder and Scully, these would be a pretty good replacement duo.",0,0,0,0,0,0,0,1,1,0,0
"This movie probably never made a blip on the radar screen, but it's got quite a bit of quality. It's pretty lifelike, yet you think ""It's only a movie."" Duvall and Close portray common people, and you'd never even realize they are now big-name actors. It seems that the jerk in this story is a little too old to be chasing Eugene's girlfriend, but I guess it's possible. It seems unlikely that the kid would travel from Montana to Nevada by himself, but I guess it's possible. You might think that the family troubles in this movie would never happen in your own family, but I guess it's possible. I remember Glenn Close saying something like ""You think the work you do is the hardest part of your life, but it isn't.""",0,0,0,0,0,0,0,1,1,0,1
"The pilot of Enterprise has one thing that has been lacking since the original Star Trek: A dose of realistic, flawed personalities. The Utopian characters of the Next Generation got tiring, they were so noble as to be unbelievable. I also like the sub-plot that humans are bitter toward the Vulcans. Its funny seeing them as pretentious snobs. It makes me look forward to seeing when the humans become the dominant race between the two, though I don't think it would work in the time frame of the show. The only negatives that jumped out at me were the ""quick cut off the ending at 2 hours"" feel of the end, which is common among many of the Trek shows. The second was the shameless dig for ratings by a couple of senselessly sexy scenes. It was out of place, a good science fiction show should be able to stand on its own without trying to pad the pre-teen audience with some skin. But its not my job to make the show profitable, so oh well.<br /><br />Lets see how the next episode does.",0,1,0,0,1,0,0,0,1,1,0
"I don't quite know how to explain ""Darkend Room,"" because to summarize it wouldn't really do it justice. It's a quintessentially Lynchian short film with two beautiful girls in a strange, mysterious situation. I would say this short is definitely more on the ""Mulholland Drive"" end of the Lynchian spectrum, as opposed to ""The Elephant Man"" or ""The Straight Story."" It's hidden on Lynch's website, and well worth the search.",0,0,0,0,0,0,0,1,1,0,0
"If Edward Woodward was the the flicks watching this film then that's what he would scream out in horror. <br /><br />I'm sorry folks but enough's enough. We had Get Carter, The Italian Job, Alfie and now this. What's the similarities? No. It's not exactly a coincidence that three of the originals star Maurice Micklewhite and the other stars another great British actor. The main common ingredient in those originals IS the britishness of the films. They weren't made to impress Hollywood. They were quirky English films with a unique charm/atmosphere that just cannot be replicated in the USA. The word is CULT and what better way to destroy a cult film than to bastardise it with a remake or even a sequel. <br /><br />Wicker 06 had a tough task before it even hit the road. Wicker 73 is even more enigmatic that other said cult films; it defies genre, intelligent scripts, A-grade actors, the music score, set-pieces that defy description and all the stories surrounding the film.<br /><br />So here comes a remake. Don't worry. No originals were harmed in the making of this remake. Some major aspects of the story needed to be reworked for the modern USA - communications, paganism, virgins. But that's just about the whole premise. So we give the cop a Nam style trauma past complete with shock music flashbacks for the cheap scares. Then with no mobile phone mast on the island that sorts the communication out - but in the real world this wouldn't happen. Cops just don't go missing. Give him a blood link for motivation rather than the clash of beliefs and you have the remake. Wafer thin though, isn't it?<br /><br />It's just that it was all laid on with a trowel. The name alterations were simply hammy, almost Carry On, there was no sense of community on the island, no centre of town to catch your bearings, just a few houses dotted about a forest and that was it. Willow was just annoying by not giving out any info at all and Cage was useless to let her get away with it. When he went into the well you just knew he would get locked it. The screenplay was signposted all the way to the end - and you just wanted it to hurry up and end. The epilogue was absolutely hilarious and didn't know when to stop. <br /><br />That ending is probably the best way to summarise the difference between the two. One ends in the most beautiful sunset after the most horrific day. The other ends with a post-production explain-it-all-to-the-thickies type conclusion.<br /><br />I loved the original but went to the cinema with an open mind and was excited to see the film. I left thankful in the knowledge that this film will probably end up beneath a highway somewhere only this time mercifully forgotten forever.",0,1,0,0,1,0,1,0,0,0,0
"The king is dead long live the King! The triad of Caddie Shack Two, The Family underneath the Stairs, and Troop Beverly Hills had been tied for worst movie ever for so long that they seemed icons in their own right. But there is a new king.....yep.....all hail the new king....""Down to Earth"". But some things, like Tiny Tim for example, are so bad they are good. Some day this could take out the inimitable ""Rocky Horror Picture Show"" as a cult film. So go see this ....this....well just take my word for it. Go see it. All hail the new king!",0,0,0,0,0,0,0,1,1,1,0
"****SPOILERS**** The film ""Sniper"" is undoubtedly based on the exploits of legendary US Marine sniper Carlos ""Gunny"" Hathcock. The unassuming soft-spoken Mister Rogers look-alike who ran up a score of as much as 300 confirmed and unconfirmed Vietcong and North Vietnamese military kills during his two tours in ""Nam"".Which shows just how deadly and effective a trained military sniper really is.<br /><br />Tom Berenger is cool clam and deadly as Sgt.Thomas Beckett who's at the end of his career as a top US Marine sniper but who later in the movie realizes that a life as a civilian will be pointless. Since there's nothing outside for him to do with his skills that he learned in the US Marines unless he decides to become a mob hit-man. Backett reluctantly accepts his fate as a lifetime professional killer for his country.<br /><br />The story of the film ""Sniper"" is focused on Sgt.Beckett with the assistance of former sharp shooting silver medalist and US government agent Richard Miller, Billy Zane, being sent deep inside the Panamanian jungle. The two snipers are to take out rebel General Miguel Alveraze, Frederick Miraglittoa, and Colombian drug king-pin Raul Ochoa, Carlos Alveraze, who's supporting him in a planned a military take-over of the country. <br /><br />We see earlier in the movie Sgt. Beckett scope and take out a rebel leader which I feel was the best scene in ""Sniper"". For it shows step by step how Sgt. Beckett with the help of his spotter Cpt. Papich, Aden Young, does his job. There's also a sub-plot that was later aborted in the movie about a rebel sniper DeSilva, Eward Wiley, who was stalking Beckett and who later killed Papich as they were both waiting to be lifted out of the jungle by a military helicopter. You would have thought that a deadly cat and mouse was being played out between the two that would culminate when the movie ended but Sgt. Beckett had no trouble at all in dispatching DeSilva early in the film by using an unsuspecting Miller as bait.<br /><br />What hurt the movie the most was ironically the last fifteen or so minutes when the story went from a one shot one kill sniper movie to a Rambo-like ending with Sgt. Beckett and Agent Miller fighting off an entire battalion of rebels with bullets flying as thick as a London fog.<br /><br />""Sniper"" is still well worth watching for the fact that it tells the story about a person who until now has not really been glamorized in war movies: A solitary killer who kills with the precision and skill of a master diamond cutter or accomplished neurosurgeon and who does it in total secrecy.",0,0,0,0,0,1,0,1,1,0,0
"I looked forward to watching this film and then realised that any hope of a coherent dialogue between the actors was swamped by the unnecessary swearing. Now I am not a prude in any way, but to shout obscenities at each other does not a good film make. Ewan Bremner is arguably one of the worst actors in the world at this time (witness his performance in the god awful Life of Stuff) & his ""Cockney"" accent is almost as bad as his Edinburgh accent. Avoid. How many more of these films ""Kiss Kiss Bang Bang"", ""Beautiful Creatures"" do we have to suffer before the film makers realise that the f-word, the c- word etc does not replace proper dialogue.",0,1,0,0,1,0,1,0,0,0,0
"National Treasure is about as over-rated and over-hyped as they come. Nicholas Cage is in no way a believable action hero, and this film is no ""Indiana Jones"". People who have compared this movie to the Indian Jones classic trilogy have seriously fallen off their rocker.<br /><br />I can't really figure out what kind of target audience this film was shooting for. Maybe the pre-teen audience will like it, but I found it to be absolutely ludicrous. I also can't imagine adults or young adults to find this to be that great of a film. Simply put: it's just OK at best.<br /><br />National Treasure is unimagined and uninspired, borrowing what it does have from ""The Da Vinci Code"". I would recommend waiting for that movie to be released in 2006, and passing on this nonsense.<br /><br />The whole idea of being able to so easily steal the Declaration of Independence and run around all over Washington DC and Philadelphia with it (while never damaging it once), while fighting the ""bad guys"" and experiencing what is supposed to be ""non-stop action"" is absurd. I particularly loved the scene with the Declaration folded in its tube laying in the middle of a busy road while cars whiz by it without damaging it. Oh brother! <br /><br />Reminded me of that episode of the ""Brady Bunch"" where they go to the amusement park and Mr. Brady loses his architectural plans. Except, that episode of the Brady Bunch was much better than this whole film! <br /><br />The idea of such huge treasure that nobody believes exists being buried within a secret ruin of the US is outlandish. Literally, there are thousand of undiscovered ""priceless"" items in this treasure trove. Yeah right!! Ridiculous!! <br /><br />Even worse, the speed and accuracy of which Cage finds and figures out what are supposed to be ""tough"" clues to these ancient riddles are pre-posterous!!! Oh.. the humanity! <br /><br />The performances by Cage, Voight, and the other actors in ""National Treasure"" are as stiff ,wooden, and flat as they come. However, when you're working with such lousy dialogue, it's hard to fault the actor's 100% for that.<br /><br />National Treasure is an OK film to see once. I can't recommend it beyond that and would definitely NOT purchase this over the top, outlandish scavenger hunt of a mess.<br /><br />Rent it if you must see it first.......",0,1,0,0,1,0,1,0,0,0,0
"The Last of the Blond Bombshells is an entertaining bit of fluff. Judy Dench plays Elizabeth, a newly widowed woman at loose ends. She has spent most of her life being the dutiful wife and mother but has never been truly happy.<br /><br />Shortly after her husband's funeral, Elizabeth is having her regular lunch date with her stick-in-the-mud children when she spots a street performer. This sparks memories of when she was a member of an all girl swing band in London during World War II. We soon learn that the band was not exactly all girl as the drummer was a man dressing as a woman ala Some Like It Hot.<br /><br />Elizabeth pulls out her sax (which she has been secretly practicing throughout her marriage) and joins forces with the guitar-playing street musician. Elizabeth is far more talented than the guitarist, and the money begins to flow in. She doesn't take any money as she is wealthy and doesn't need it. Her playing is strictly for artistic fulfillment.<br /><br />Elizabeth is seen one day by Patrick (Ian Holm) who was the drummer-in-drag of the band. It seems that Patrick was - and still is - quite the ladies' man, and Elizabeth - being only fifteen at the time - was the only band member who did not experience Patrick's ""talents"" other than drumming.<br /><br />Elizabeth is inspired by her granddaughter to get the old group together once again to play for the granddaughter's school dance. Thus begins a delightful trip down memory lane combined with aspects of a humorous road trip movie - all topped off with some really good swing and blues.<br /><br />I guess I'm at the age in which I really enjoy older actresses doing their stuff, and this film is a treasure trove as it not only stars Judi Dench, but she is supported by none less than Olympia Dukakis, Leslie Caron, and a host of seasoned British character actresses. This is all topped off by the extraordinary voice of Cleo Laine.<br /><br />Yes, it is fluff, but totally delightful and exceedingly entertaining fluff.",0,0,0,0,0,0,0,0,1,1,1
"""The Shop Around the Corner"" is one of the great films from director Ernst Lubitsch. In addition to the talents of James Stewart and Margaret Sullavan, it's filled with a terrific cast of top character actors such as Frank Morgan and Felix Bressart .They're the type of character actors that Hollywood sadly no longer employs. In fact, the film itself is the kind of movie that Hollywood doesn't make anymore. (The makers of ""You've Got Mail"" claim their film to be a remake, but that's just nothing but a lot of inflated self praise.) Anyway, if you have an affection for romantic comedies of the 1940's, you'll find ""The Shop Around the Corner"" to be nothing short of wonderful. Just as good with repeat viewings. Enjoy!",0,0,0,0,0,0,0,0,1,1,1
"Excellent movie, albeit slightly predictable. I have to comment on Nicole Kidmans acting in this movie. Some of her other works haven't shown the amazing talent this woman has, but Birthday Girl doesn't suffer from this in the slightest. Even without words Kidmans acting shines through.",0,0,0,0,0,0,0,0,1,1,0
"Maybe the greatest film ever about jazz.<br /><br />It IS jazz.<br /><br />The opening shot continues to haunt my reverie.<br /><br />Lester, of course, is wonderful and out of this world.<br /><br />Jo Jones is always a delight (see The Sound of Jazz as well).<br /><br />If you can, find the music; it's available on CD.<br /><br />All lovers of jazz and film noir should study this tremendous jewel.<br /><br />What shadows and light - what music - what a hat!",0,0,0,0,0,0,0,0,1,1,1
Never when I was a child did I love any movie more then this one. I would love to own it. I watched it every Sunday they played it on the Family Film Festival. It is an enjoyable film suitable for the whole family and the songs are wonderful.,0,0,0,0,0,0,0,0,1,1,0
"While the British produced some hilarious and slick sitcoms in the 1990s - Ab Fab, Men Behaving Badly, One Foot in the Grave, etc. - the 70s were the real golden age.<br /><br />In the 1970s there were whole new territories to explore, including the sexual revolution, feminism, and the slowly evolving awareness of a need for ""sensitivity"" that would, twenty years later, become Political Correctness. Attempts to grapple with the confusion of this thoroughly modern world were the subtle and not-so-subtle themes in everything from the skits of Monty Python's Flying Circus to sitcoms like Man About the House. (By the late 70s this ""grappling"" resulted in more meditative and bitter-sweet sitcoms such as the masterpiece Butterflies.)<br /><br />Man About the House is a perfect example of the good Britcoms of the time - slightly genteel, cheeky, fresh, ingenuous, sometimes outrageous, with some well made observations on contemporary life. Compare it to a cynical 90s show such as Ab Fab, and it is hard to believe the two were created in the same country.<br /><br />Man About the House is one of the great Britcoms of the 70s, right up there with Good Neighbors (The Good Life), and About the House's spin off George and Mildred. Its quality is attested to by the fact that - as with Good Neighbors - its creators, writers, and many of its cast have had continued success in British television.",0,0,0,0,0,0,0,0,1,1,1
"I saw the film at the Belgrade Film Festival last week, and I'm still working off the trauma. Essentially my view seems to match a number of others - the first half hour was fresh, sharp, deep, entertaining and promising. Well acted too. Natural. My problem, however, is not simply with the fact that the final hour and a half of the film have nothing to do with the likable beginning, nor the fact that I spent most of this time convulsing in agony at sharp, grating industrial sounds and squinting at drunken, toothless, bread-chewing hags. It's rather with the fact that THEY NEVER WARNED ME!!! The festival brochure synopsis described only the (utterly intriguing-sounding) first half hour - a whore, piano tuner and meat seller chat in a bar, pretending to be an advertising agent, genetic engineer, and petty government administration official, respectively - making no mention whatsoever of the never-ending gum-smacking to come. Serves me right for not reading the reviews, you might say - but to my defense, a number of reviews I looked at post-fact um didn't at all stress the immensity and utter unbearableness of the greater part of the film.<br /><br />The first hint should have been the introductory words by the director (a bashful, tousle-haired Russian youth) who stepped in front of the crammed auditorium (the film seems to be doing incredibly well critically, and tickets were sold out well in advance of the screening, though most of the audience seemed as unaware as I was of the pain to come, judging by the plethora of unearthly moans and groans that utterly permeated the theatre during the last half hour, and many exasperated comments on exit) to say the following: 'Well, I... um, thank you very much for coming to see this film, and I just wanted to say... well, it's a very long film... it took me four years to make it, and... it's.. I suggest that you see it and immediately try to forget about it. It is very long. Thank you for coming.' This is what he said. Alarm bells should have been ringing. 'What's he talking about?' I thought in happy confusion. 'This is gonna be fun!' Of course, by the time his strangely apologetic comments started making sense to me, it was far too late to get out. All I could do is writhe in increasing agony until the lights came on again. And in the end I can't say I feel in any way improved by the experience. Yes, I absolutely loved the first half hour. It was intelligent, new, and had a lot to say. And yes, Russia is probably in a bad state. Yes, every society has many hidden faces. Yes, toothless life in barren wastelands is probably unimaginably hard. Yes yes yes. I get all of this. Really I do. But I see no earthly reason why art and meaning should be so agonisingly drawn out, and so painful to bear. If you want to see a film land somewhere between the extremes of glitzy Hollywood plastic fantastic and hours of muddy vodka swigging, try the Korean-Chinese Bin Jip (3-Iron). It's artsy and surprising, but also to-the-point and fun.",0,1,0,1,1,0,0,0,0,0,0
"This is a comedy based on national stereotypes, no doubt. If you leave away pretending you know or you care what Communism was about and how real Russians or Brits are, if you accept and are not hurt by the conventions, you can have fun with this film. Nicole Kidman is at her best, sexy, moving and funny. Ben Chaplin succeeds to avoid being completely out-shadowed by Nicole, and the rest of the cast does good work as well. The final is moving, and logical - movie logics, of course. Worth watching, if you accept the rules of the game.",0,0,1,0,0,0,0,0,1,1,0
"I saw this little Belgian gem two days after seeing 'American Teen'. Make no mistake about it, adolescence is a roller coaster ride, be it American or European. 'Naissance des Pieuvres' (or as it is being called in the U.S. 'Water Lillies')is a tale of a young 15 year old girl (played by Pauline Acquart,who at times resembles a young Scarlett Johansson)acts the cool, withdrawn girl who wants to be on the school swim team, just to be close to another attractive girl (Adele Haenel). It's more than obvious that Marie is more than attracted to Floriane. Figuring among all of this is Marie's rather plump, unattractive friend, Anne, who just wants a boyfriend like any other girl her age. Along the way,we are shown the usual array of teen pastimes (broken hearts,shop lifting,alcohol and/or drug use,casual sex,etc.). This is a quiet little film that takes time to work it's way into your system (Michael Bay fans,take note:the pacing here is s-l-o-w,so steer clear),but if you have no problem with this, Water Lillies is a charmer. No rating here,but would pull down a hard ""R"", due to language,nudity,adult situations.",0,0,1,0,0,0,0,0,1,1,0
"This movie was terrible. The first half hour is much like a... well, apologies for the lack of articulation, but it was simply a bad version of A Clockwork Orange. The first scene is almost photocopied from one of the first in Clockwork! Supposedly it was a tribute, as per the appearance of the Clockwork poster on the protagonist's wall, however ""ripoff"" is the more appropriate word. The movie felt as though it was torn right from the Kubrick classic, only filmed through a new director's eyes. A blind director. Unfortunately when it stops its massacre of Kubrick's work, the film gets even worse. As another commentator said, the deepness of this film is just shoved down your throat. Arrogant, self absorbed and ultimately meaningless drivel.<br /><br />Perhaps the protagonists ramblings would touch a nerve if there was any actual character development in this movie. I felt absolutely nothing for this guy. And I'm an alcoholic, so I figure that if anyone might be able to feel anything for him, it would be me. Awful character development, dialogue and plot.<br /><br />The worst part about this movie is the title. For a film called ""16 Years of Alcohol"", the alcoholism is hardly a factor in the flick. See first paragraph - it was such a butchering of A Clockwork Orange I can't get over it. A more suited title would have been ""16 Years of Violence,"" or, even better, ""A Clockwork Banana"".<br /><br />Just do yourself a favor and avoid this movie. If you disregard my advice and take it out anyway, drink. Trust me.",0,1,0,0,1,0,1,0,0,0,0
